Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Acrobates frontalis,Acrobates frontalis,Antechinomys laniger,Acrobates frontalis,Acrobates frontalis,Acrobates pygmaeus,Acrobates frontalis,Antechinomys laniger
Acrobates pygmaeus,Acrobates pygmaeus,Antechinomys longicaudatus,Acrobates pygmaeus,Acrobates pygmaeus,Antechinus minimus,Acrobates pygmaeus,Antechinomys longicaudatus
Antechinus agilis,Aepyprymnus rufescens,Antechinus bellus,Aepyprymnus rufescens,Antechinomys laniger,Antechinus swainsonii,Antechinus agilis,Antechinus flavipes
Antechinus mimetes,Antechinomys laniger,Austronomus australis,Antechinomys laniger,Antechinus agilis,Antechinus vandycki,Antechinus flavipes,Austronomus australis
Austronomus australis,Antechinus agilis,Bettongia penicillata,Antechinus adustus,Antechinus flavipes,Bettongia gaimardi,Antechinus mimetes,Bettongia leseur
Canis familiaris,Antechinus arktos,Canis familiaris,Antechinus argentus,Antechinus minimus,Canis familiaris,Antechinus minimus,Bettongia penicillata
Cercartetus nanus,Antechinus flavipes,Chaerephon jobensis,Antechinus arktos,Austronomus australis,Cercartetus lepidus,Austronomus australis,Canis familiaris
Chalinolobus gouldii,Antechinus mimetes,Chalinolobus gouldii,Antechinus flavipes,Bettongia leseur,Cercartetus nanus,Bettongia penicillata,Cercartetus concinnus
Chalinolobus morio,Antechinus stuartii,Chalinolobus morio,Antechinus godmani,Bettongia penicillata,Chalinolobus gouldii,Burramys parvus,Chaerephon jobensis
Dasyurus maculatus,Antechinus subtropicus,Chalinolobus nigrogriseus,Antechinus leo,Canis familiaris,Chalinolobus morio,Canis familiaris,Chalinolobus gouldii
Falsistrellus tasmaniensis,Austronomus australis,Conilurus penicillatus,Antechinus mysticus,Cercartetus concinnus,Dasyurus maculatus,Cercartetus concinnus,Chalinolobus morio
Hydromys chrysogaster,Bettongia leseur,Dasycercus blythi,Antechinus stuartii,Cercartetus lepidus,Dasyurus viverrinus,Cercartetus lepidus,Chalinolobus nigrogriseus
Isoodon obesulus,Bettongia penicillata,Dasycercus cristicauda,Antechinus subtropicus,Cercartetus nanus,Falsistrellus tasmaniensis,Cercartetus nanus,Conilurus penicillatus
Macropus giganteus,Burramys parvus,Dasyurus hallucatus,Austronomus australis,Chalinolobus gouldii,Hydromys chrysogaster,Chalinolobus gouldii,Dasycercus blythi
Mastacomys fuscus,Canis familiaris,Hipposideros ater,Bettongia tropica,Chalinolobus morio,Isoodon obesulus,Chalinolobus morio,Dasykaluta rosamondae
Miniopterus orianae,Cercartetus concinnus,Hipposideros inornatus,Canis familiaris,Chalinolobus picatus,Macropus giganteus,Chalinolobus picatus,Dasyurus geoffroii
Myotis macropus,Cercartetus lepidus,Hipposideros stenotis,Cercartetus caudatus,Dasycercus blythi,Mastacomys fuscus,Dasyurus maculatus,Dasyurus hallucatus
Notamacropus rufogriseus,Cercartetus nanus,Hydromys chrysogaster,Cercartetus nanus,Dasycercus cristicauda,Notamacropus rufogriseus,Falsistrellus tasmaniensis,Falsistrellus mackenziei
Nyctophilus geoffroyi,Chalinolobus dwyeri,Isoodon auratus,Chaerephon jobensis,Dasyuroides byrnei,Nyctophilus geoffroyi,Gymnobelideus leadbeateri,Hipposideros ater
Nyctophilus gouldi,Chalinolobus gouldii,Isoodon macrourus,Chalinolobus dwyeri,Dasyurus geoffroii,Nyctophilus sherrini,Hydromys chrysogaster,Hipposideros stenotis
Ornithorhynchus anatinus,Chalinolobus morio,Lagorchestes conspicillatus,Chalinolobus gouldii,Falsistrellus tasmaniensis,Ornithorhynchus anatinus,Isoodon obesulus,Hydromys chrysogaster
Osphranter robustus,Chalinolobus nigrogriseus,Lagorchestes hirsutus,Chalinolobus morio,Hydromys chrysogaster,Perameles gunnii,Macropus fuliginosus,Isoodon auratus
Ozimops ridei,Chalinolobus picatus,Leggadina forresti,Chalinolobus nigrogriseus,Isoodon obesulus,Petaurus breviceps,Macropus giganteus,Isoodon fusciventer
Perameles nasuta,Dasyurus geoffroii,Leggadina lakedownensis,Chalinolobus picatus,Lasiorhinus latifrons,Petaurus notatus,Mastacomys fuscus,Isoodon macrourus
Petauroides volans,Dasyurus maculatus,Macroderma gigas,Conilurus penicillatus,Leggadina forresti,Potorous tridactylus,Miniopterus orianae,Lagorchestes conspicillatus
Petaurus australis,Falsistrellus tasmaniensis,Macroglossus minimus,Dactylopsila trivirgata,Leporillus conditor,Pseudocheirus peregrinus,Myotis macropus,Lagorchestes hirsutus
Petaurus breviceps,Hydromys chrysogaster,Macrotis lagotis,Dasycercus blythi,Macroderma gigas,Pseudomys higginsi,Ningaui yvonneae,Lagostrophus fasciatus
Petaurus notatus,Isoodon auratus,Melomys burtoni,Dasyuroides byrnei,Macropus fuliginosus,Pseudomys novaehollandiae,Notamacropus rufogriseus,Leggadina forresti
Phascolarctos cinereus,Isoodon macrourus,Mesembriomys gouldii,Dasyurus hallucatus,Macropus giganteus,Rattus lutreola,Notomys mitchellii,Leggadina lakedownensis
